LAD19CD,ethnicity,population,proportion
E06000041,Mixed/multiple ethnic group,3182.0,0.0206114781707475
E06000041,Other ethnic group,1142.0,0.00739733126052597
E06000041,White,136525.0,0.884343826920586
E06000042,Asian/Asian British,22782.0,0.0915597959979262
E06000042,Black/African/Caribbean/Black British,17131.0,0.0688486904240398
E06000042,Mixed/multiple ethnic group,8235.0,0.0330960811185551
E06000042,Other ethnic group,1579.0,0.00634592739358816
E06000042,White,199094.0,0.800149505065891
E06000043,Asian/Asian British,11278.0,0.0412555922580834
E06000043,Black/African/Caribbean/Black British,4188.0,0.015319952152585
E06000043,Mixed/multiple ethnic group,10408.0,0.0380730807077613
E06000043,Other ethnic group,3983.0,0.01457005000567
E06000043,White,243512.0,0.8907813248759
E06000044,Asian/Asian British,12474.0,0.0608321629213483
E06000044,Black/African/Caribbean/Black British,3777.0,0.0184193586142322
E06000044,Mixed/multiple ethnic group,5467.0,0.0266610096754057
E06000044,Other ethnic group,2156.0,0.0105142009987516
E06000044,White,181182.0,0.883573267790262
E06000045,Asian/Asian British,19892.0,0.0839742994402276
E06000045,Black/African/Caribbean/Black British,5067.0,0.0213903969064766
E06000045,Mixed/multiple ethnic group,5678.0,0.0239697402082049
E06000045,Other ethnic group,2717.0,0.0114698457459832
E06000045,White,203528.0,0.859195717699108
E06000046,Asian/Asian British,1514.0,0.0109499873431454
E06000046,Black/African/Caribbean/Black British,303.0,0.0021914439662966
E06000046,Mixed/multiple ethnic group,1709.0,0.0123603225689799
E06000046,Other ethnic group,194.0,0.00140310273749684
E06000046,White,134545.0,0.973095143384081
E06000047,Asian/Asian British,4856.0,0.00946142365589722
E06000047,Black/African/Caribbean/Black British,701.0,0.00136582742643821
E06000047,Mixed/multiple ethnic group,3094.0,0.00602834530299547
E06000047,Other ethnic group,822.0,0.00160158365839117
E06000047,White,503769.0,0.981542819956278
E06000049,Asian/Asian British,6060.0,0.0163727585396364
E06000049,Black/African/Caribbean/Black British,1402.0,0.00378788902187628
E06000049,Mixed/multiple ethnic group,3873.0,0.0104639758785498
E06000049,Other ethnic group,852.0,0.00230191258676076
E06000049,White,357940.0,0.967073463973177
E06000050,Asian/Asian British,4097.0,0.0124299167495935
E06000050,Black/African/Caribbean/Black British,908.0,0.00275478750515764
E06000050,Mixed/multiple ethnic group,3050.0,0.00925341617921895
E06000050,Other ethnic group,528.0,0.00160190286643528
E06000050,White,321025.0,0.973959976699595
E06000051,Asian/Asian British,3089.0,0.0100905173962611
E06000051,Black/African/Caribbean/Black British,580.0,0.00189462612166766
