UTLA19CD,ethnicity,population,proportion
E08000028,Black/African/Caribbean/Black British,18357,0.05958846080184897
E08000028,Mixed/multiple ethnic group,10199,0.033106864504987614
E08000028,Other ethnic group,4778,0.015509814550919779
E08000028,White,215471,0.6994381019466798
E08000029,Asian/Asian British,13561,0.06561541364661254
E08000029,Black/African/Caribbean/Black British,3239,0.015672024541064672
E08000029,Mixed/multiple ethnic group,4404,0.0213089212963411
E08000029,Other ethnic group,1226,0.005932047572505492
E08000029,White,184244,0.8914715929434762
E08000030,Asian/Asian British,41022,0.15231524971873922
E08000030,Black/African/Caribbean/Black British,6369,0.023648184521930914
E08000030,Mixed/multiple ethnic group,7224,0.026822811271224514
E08000030,Other ethnic group,2239,0.008313437768033179
E08000030,White,212469,0.7889003167200722
E08000031,Asian/Asian British,44960,0.18022207079007496
E08000031,Black/African/Caribbean/Black British,17309,0.06938309215536938
E08000031,Mixed/multiple ethnic group,12784,0.051244638633903876
E08000031,Other ethnic group,4735,0.018980238104782138
E08000031,White,169682,0.6801699603158696
E08000032,Asian/Asian British,140149,0.2682523944783444
E08000032,Black/African/Caribbean/Black British,9267,0.017737514642493474
E08000032,Mixed/multiple ethnic group,12979,0.024842473566949692
E08000032,Other ethnic group,7740,0.014814758102179722
E08000032,White,352317,0.6743528592100327
E08000033,Asian/Asian British,16875,0.08279120426245916
E08000033,Black/African/Caribbean/Black British,899,0.0044106247485600466
E08000033,Mixed/multiple ethnic group,2797,0.013722488789457674
E08000033,Other ethnic group,468,0.0022960760648788672
E08000033,White,182787,0.8967796061346442
E08000034,Asian/Asian British,67782,0.16044671896377866
E08000034,Black/African/Caribbean/Black British,7905,0.01871191929138518
E08000034,Mixed/multiple ethnic group,9790,0.023173901310899546
E08000034,Other ethnic group,2711,0.006417205970771059
E08000034,White,334270,0.7912502544631655
E08000035,Asian/Asian British,58243,0.07750387565952747
E08000035,Black/African/Caribbean/Black British,25893,0.03445577756043035
E08000035,Mixed/multiple ethnic group,19632,0.026124273937603543
E08000035,Other ethnic group,8230,0.01095164906817834
E08000035,White,639487,0.8509644237742603
E08000036,Asian/Asian British,8498,0.026080524925039206
E08000036,Black/African/Caribbean/Black British,2512,0.007709376160472874
E08000036,Mixed/multiple ethnic group,2928,0.008986088136092587
E08000036,Other ethnic group,942,0.002891016060177328
E08000036,White,310957,0.954332994718218
E08000037,Asian/Asian British,3738,0.01867002307530942
E08000037,Black/African/Caribbean/Black British,1081,0.00539922283157022
